Date,Volume,Adj Close
9/19/2008,10006000,449.15
9/18/2008,8589400,439.08
9/17/2008,9126900,414.49
9/16/2008,6990700,442.93
9/15/2008,6567400,433.86
9/12/2008,6028000,437.66
9/11/2008,6471400,433.75
9/10/2008,6226800,414.16
9/9/2008,7229600,418.66
9/8/2008,9017900,419.95
9/5/2008,4534300,444.25
9/4/2008,4848500,450.26
9/3/2008,4314600,464.41
9/2/2008,6111500,465.25
8/29/2008,3848200,463.29
8/28/2008,3029700,473.78
8/27/2008,4387100,468.58
8/26/2008,3308200,474.16
8/25/2008,2014300,483.01
8/22/2008,2297200,490.59
8/21/2008,3514100,486.53
8/20/2008,3982100,485
8/19/2008,3046500,490.5
8/18/2008,3333900,498.3
8/15/2008,3545700,510.15
8/14/2008,2918600,505.49
8/13/2008,3625500,500.03
8/12/2008,2755700,502.61
8/11/2008,4239300,500.84
8/8/2008,3739300,495.01
8/7/2008,2773800,479.12
8/6/2008,3375800,486.34
8/5/2008,3584500,479.85
8/4/2008,2487000,463
8/1/2008,3007900,467.86
7/31/2008,2865100,473.75
7/30/2008,3490700,482.7
7/29/2008,2802800,483.11
7/28/2008,3160000,477.12
7/25/2008,3183500,491.98
7/24/2008,3540900,475.62
7/23/2008,4894100,489.22
7/22/2008,4691500,477.11
7/21/2008,5901500,468.8
7/18/2008,11292400,481.32
7/17/2008,8787400,533.44
7/16/2008,4742200,535.6
7/15/2008,6071000,516.09
7/14/2008,4424800,521.62
7/11/2008,4981400,533.8
7/10/2008,4331700,540.57
7/9/2008,4154000,541.55
7/8/2008,4932400,554.53
7/7/2008,4255200,543.91
7/3/2008,2400500,537
7/2/2008,4223000,527.04
7/1/2008,4959900,534.73
6/30/2008,3765300,526.42
6/27/2008,5436900,528.07
6/26/2008,5659500,528.82
6/25/2008,4122200,551
6/24/2008,4672600,542.3
6/23/2008,3635900,545.21
6/20/2008,5983100,546.43
6/19/2008,5683100,560.2
6/18/2008,3381200,562.38
6/17/2008,3462900,569.46
6/16/2008,3542800,572.81
6/13/2008,6184400,571.51
6/12/2008,5491600,552.95
6/11/2008,3812900,545.2
6/10/2008,3657400,554.17
6/9/2008,5288300,557.87
6/6/2008,4734500,567
6/5/2008,3916700,586.3
6/4/2008,3363200,572.22
6/3/2008,4305300,567.3
6/2/2008,3674200,575
5/30/2008,3225200,585.8
5/29/2008,4845000,583
5/28/2008,4050400,568.24
5/27/2008,3865500,560.9
5/23/2008,4431500,544.62
5/22/2008,5076300,549.46
5/21/2008,6468100,549.99
5/20/2008,3313600,578.6
5/19/2008,5604500,577.52
5/16/2008,4274100,580.07
5/15/2008,4342700,581
5/14/2008,4375800,576.3
5/13/2008,5163500,583
5/12/2008,4863900,584.94
5/9/2008,4484900,573.2
5/8/2008,5122900,583.01
5/7/2008,6613000,579
5/6/2008,4629300,586.36
5/5/2008,6281000,594.9
5/2/2008,6998800,581.29
5/1/2008,6602800,593.08
4/30/2008,7903000,574.29
4/29/2008,4346000,558.47
4/28/2008,4008600,552.12
4/25/2008,4164400,544.06
4/24/2008,4135100,543.04
4/23/2008,4921500,546.49
4/22/2008,7938500,555
4/21/2008,7439700,537.79
4/18/2008,18235600,539.41
4/17/2008,13353000,449.54
4/16/2008,7620200,455.03
4/15/2008,4577600,446.84
4/14/2008,3842600,451.66
4/11/2008,4151500,457.45
4/10/2008,5072400,469.08
4/9/2008,6048100,464.19
4/8/2008,4547000,467.81
4/7/2008,5943500,476.82
4/4/2008,5897200,471.09
4/3/2008,6778400,455.12
4/2/2008,5999000,465.7
